Date,Open,High,Low,Close,Volume
1/2/2019,154.89,158.85,154.23,157.92,37039737
1/3/2019,143.98,145.72,142,142.19,91312195
1/4/2019,144.53,148.5499,143.8,148.26,58607070
1/7/2019,148.7,148.83,145.9,147.93,54777764
1/8/2019,149.56,151.82,148.52,150.75,41025314
1/9/2019,151.29,154.53,149.63,153.31,45099081
1/10/2019,152.5,153.97,150.86,153.8,35780670
1/11/2019,152.88,153.7,151.51,152.29,27023241
1/14/2019,150.85,151.27,149.22,150,32439186
1/15/2019,150.27,153.39,150.05,153.07,28710324
1/16/2019,153.08,155.88,153,154.94,30569706
1/17/2019,154.2,157.66,153.26,155.86,29821160
1/18/2019,157.5,157.88,155.9806,156.82,33751023
1/22/2019,156.41,156.73,152.62,153.3,30393970
1/23/2019,154.15,155.14,151.7,153.92,23130570
1/24/2019,154.11,154.48,151.74,152.7,25441549
1/25/2019,155.48,158.13,154.32,157.76,33547893
1/28/2019,155.79,156.33,153.66,156.3,26192058
1/29/2019,156.25,158.13,154.11,154.68,41587239
1/30/2019,163.25,166.15,160.23,165.25,61109780
1/31/2019,166.11,169,164.56,166.44,40739649
2/1/2019,166.96,168.98,165.93,166.52,32668138
2/4/2019,167.41,171.655,167.28,171.25,31495582
2/5/2019,172.86,175.08,172.3501,174.18,36101628
2/6/2019,174.65,175.57,172.8531,174.24,28239591
2/7/2019,172.4,173.94,170.34,170.94,31741690
2/8/2019,168.99,170.66,168.42,170.41,23819966
2/11/2019,171.05,171.21,169.25,169.43,20993425
2/12/2019,170.1,171,169.7,170.89,22283523
2/13/2019,171.39,172.48,169.92,170.18,22490233
2/14/2019,169.71,171.2615,169.38,170.8,21835747
2/15/2019,171.25,171.7,169.75,170.42,24626814
2/19/2019,169.71,171.44,169.49,170.93,18972826
2/20/2019,171.19,173.32,170.99,172.03,26114362
2/21/2019,171.8,172.37,170.3,171.06,17249670
2/22/2019,171.58,173,171.38,172.97,18913154
2/25/2019,174.16,175.87,173.95,174.23,21873358
2/26/2019,173.71,175.3,173.1732,174.33,17070211
2/27/2019,173.21,175,172.73,174.87,27835389
2/28/2019,174.32,174.91,172.92,173.15,28215416
3/1/2019,174.28,175.15,172.89,174.97,25886167
3/4/2019,175.69,177.75,173.97,175.85,27436203
3/5/2019,175.94,176,174.54,175.53,19737419
3/6/2019,174.67,175.49,173.94,174.52,20810384
3/7/2019,173.87,174.44,172.02,172.5,24796374
3/8/2019,170.32,173.07,169.5,172.91,23999358
3/11/2019,175.49,179.12,175.35,178.9,32011034
3/12/2019,180,182.67,179.37,180.91,32467584
3/13/2019,182.25,183.3,180.92,181.71,31032524
3/14/2019,183.9,184.1,182.56,183.73,23579508
3/15/2019,184.85,187.33,183.74,186.12,39042912
3/18/2019,185.8,188.39,185.79,188.02,26219832
3/19/2019,188.35,188.99,185.92,186.53,31646369
3/20/2019,186.23,189.49,184.73,188.16,31035231
3/21/2019,190.02,196.33,189.81,195.09,51034237
3/22/2019,195.34,197.69,190.78,191.05,42407666
3/25/2019,191.51,191.98,186.6,188.74,43845293
3/26/2019,191.664,192.88,184.58,186.79,49800538
3/27/2019,188.75,189.76,186.55,188.47,29848427
3/28/2019,188.95,189.559,187.53,188.72,20780363
3/29/2019,189.83,190.08,188.54,189.95,23563961
4/1/2019,191.64,191.68,188.38,191.24,27861964
4/2/2019,191.09,194.46,191.05,194.02,22765732
4/3/2019,193.25,196.5,193.15,195.35,23271830
4/4/2019,194.79,196.37,193.14,195.69,19114275
4/5/2019,196.45,197.1,195.93,197,18526644
4/8/2019,196.42,200.23,196.34,200.1,25881697
4/9/2019,200.32,202.85,199.23,199.5,35768237
4/10/2019,198.68,200.74,198.18,200.62,21695288
4/11/2019,200.85,201,198.4431,198.95,20900808
4/12/2019,199.2,200.14,196.21,198.87,27760668
4/15/2019,198.58,199.85,198.01,199.23,17536646
4/16/2019,199.46,201.37,198.56,199.25,25696385
4/17/2019,199.54,203.38,198.61,203.13,28906780
4/18/2019,203.12,204.15,202.52,203.86,24195766
4/22/2019,202.83,204.94,202.34,204.53,19439545
4/23/2019,204.43,207.75,203.9,207.48,23322991
4/24/2019,207.36,208.48,207.05,207.16,17540609
4/25/2019,206.83,207.76,205.12,205.28,18543206
4/26/2019,204.9,205,202.12,204.3,18649102
4/29/2019,204.4,205.97,203.86,204.61,22204716
4/30/2019,203.06,203.4,199.11,200.67,46534923
5/1/2019,209.88,215.31,209.23,210.52,64827328
5/2/2019,209.84,212.65,208.13,209.15,31996324
5/3/2019,210.89,211.84,210.23,211.75,20892378
5/6/2019,204.29,208.84,203.5,208.48,32443113
5/7/2019,205.88,207.4175,200.825,202.86,38763698
5/8/2019,201.9,205.34,201.75,202.9,26339504
5/9/2019,200.4,201.68,196.66,200.72,34908607
5/10/2019,197.419,198.85,192.77,197.18,41208712
5/13/2019,187.71,189.48,182.85,185.72,57430623
5/14/2019,186.41,189.7,185.41,188.66,36529677
5/15/2019,186.27,191.75,186.02,190.92,26544718
5/16/2019,189.91,192.4689,188.84,190.08,33031364
5/17/2019,186.93,190.9,186.76,189,32879090
5/20/2019,183.52,184.349,180.2839,183.09,38612290
5/21/2019,185.22,188,184.7,186.6,28364848
5/22/2019,184.66,185.71,182.55,182.78,29748556
5/23/2019,179.8,180.54,177.81,179.66,36529736
5/24/2019,180.2,182.14,178.62,178.97,23714686
5/28/2019,178.92,180.59,177.91,178.23,27948160
5/29/2019,176.42,179.35,176,177.38,28481165
5/30/2019,177.95,179.23,176.67,178.3,21218412
5/31/2019,176.23,177.99,174.99,175.07,27043584
6/3/2019,175.6,177.92,170.27,173.3,40396069
6/4/2019,175.44,179.83,174.52,179.64,30967961
6/5/2019,184.28,184.99,181.14,182.54,29773427
6/6/2019,183.08,185.47,182.1489,185.22,22526311
6/7/2019,186.51,191.92,185.77,190.15,30684393
6/10/2019,191.81,195.37,191.62,192.58,26220851
6/11/2019,194.86,196,193.6,194.81,26932882
6/12/2019,193.95,195.97,193.385,194.19,18253189
6/13/2019,194.7,196.79,193.6,194.15,21674625
6/14/2019,191.545,193.5863,190.3,192.74,18761474
6/17/2019,192.9,194.96,192.17,193.89,14669144
6/18/2019,196.05,200.29,195.21,198.45,26551004
6/19/2019,199.68,199.88,197.31,197.87,21124235
6/20/2019,200.37,200.61,198.03,199.46,21513988
6/21/2019,198.8,200.85,198.15,198.78,47800589
6/24/2019,198.54,200.16,198.17,198.58,18220421
6/25/2019,198.43,199.26,195.29,195.57,21070334
6/26/2019,197.77,200.99,197.35,199.8,26067512
6/27/2019,200.29,201.57,199.57,199.74,20899717
6/28/2019,198.68,199.495,197.05,197.92,31110642
7/1/2019,203.17,204.49,200.65,201.55,27316739
7/2/2019,201.41,203.1323,201.36,202.73,16935217
7/3/2019,203.28,204.44,202.6901,204.41,11362045
7/5/2019,203.35,205.08,202.9,204.23,17265518
7/8/2019,200.81,201.4,198.41,200.02,25338628
7/9/2019,199.2,201.51,198.81,201.24,20578015
7/10/2019,201.85,203.73,201.56,203.23,17897138
7/11/2019,203.31,204.39,201.71,201.75,20191842
7/12/2019,202.45,204,202.2,203.3,17595212
7/15/2019,204.09,205.87,204,205.21,16947420
7/16/2019,204.59,206.11,203.5,204.5,16866816
7/17/2019,204.05,205.0915,203.27,203.35,14107450
7/18/2019,204,205.88,203.7,205.66,18582161
7/19/2019,205.79,206.5,202.36,202.59,20929307
7/22/2019,203.65,207.23,203.61,207.22,22277932
7/23/2019,208.46,208.91,207.29,208.84,18355210
7/24/2019,207.67,209.15,207.17,208.67,14991567
7/25/2019,208.89,209.24,206.73,207.02,13909562
7/26/2019,207.48,209.73,207.14,207.74,17618874
7/29/2019,208.46,210.64,208.44,209.68,21673389
7/30/2019,208.76,210.16,207.31,208.78,33935718
7/31/2019,216.42,221.37,211.3,213.04,69281361
8/1/2019,213.9,218.03,206.7435,208.43,54017922
8/2/2019,205.53,206.43,201.63,204.02,40862122
8/5/2019,197.99,198.649,192.58,193.34,52392969
8/6/2019,196.31,198.067,194.04,197,35824787
8/7/2019,195.41,199.56,193.82,199.04,33364400
8/8/2019,200.2,203.53,199.39,203.43,27009523
8/9/2019,201.3,202.76,199.29,200.99,24619746
8/12/2019,199.62,202.0516,199.15,200.48,22481889
8/13/2019,201.02,212.14,200.83,208.97,47539786
8/14/2019,203.16,206.44,202.5869,202.75,36547443
8/15/2019,203.46,205.14,199.67,201.74,27883363
8/16/2019,204.28,207.16,203.84,206.5,28813624
8/19/2019,210.62,212.7307,210.025,210.35,24431915
8/20/2019,210.88,213.35,210.32,210.36,26919529
8/21/2019,212.99,213.65,211.6032,212.64,21564747
8/22/2019,213.19,214.435,210.75,212.46,22267819
8/23/2019,209.43,212.051,201,202.64,46882843
8/26/2019,205.86,207.19,205.0573,206.49,26066130
8/27/2019,207.86,208.55,203.53,204.16,25897344
8/28/2019,204.1,205.72,203.32,205.53,15957632
8/29/2019,208.5,209.32,206.655,209.01,21007652
8/30/2019,210.16,210.45,207.2,208.74,21162561
9/3/2019,206.43,206.98,204.22,205.7,20059574
9/4/2019,208.39,209.48,207.32,209.19,19216820
9/5/2019,212,213.97,211.51,213.28,23946984
9/6/2019,214.05,214.42,212.51,213.26,19362294
9/9/2019,214.84,216.44,211.07,214.17,27309401
9/10/2019,213.86,216.78,211.71,216.7,31777931
9/11/2019,218.07,223.71,217.73,223.59,44289646
9/12/2019,224.8,226.42,222.86,223.085,32226669
9/13/2019,220,220.79,217.02,218.75,39763296
9/16/2019,217.73,220.13,217.56,219.9,21158141
9/17/2019,219.96,220.82,219.12,220.7,18386468
9/18/2019,221.06,222.85,219.44,222.77,25643093
9/19/2019,222.01,223.76,220.37,220.96,22187876
9/20/2019,221.38,222.56,217.473,217.73,57977094
9/23/2019,218.95,219.84,217.65,218.72,19419648
9/24/2019,221.03,222.49,217.19,217.68,31434367
9/25/2019,218.55,221.5,217.1402,221.03,22481006
9/26/2019,220,220.94,218.83,219.89,19088312
9/27/2019,220.54,220.96,217.2814,218.82,25361285
9/30/2019,220.9,224.58,220.79,223.97,26318583
10/1/2019,225.07,228.22,224.2,224.59,36187163
10/2/2019,223.06,223.58,217.93,218.96,35767257
10/3/2019,218.43,220.96,215.132,220.82,30352686
10/4/2019,225.64,227.49,223.89,227.01,34755553
10/7/2019,226.27,229.93,225.84,227.06,30889269
10/8/2019,225.82,228.06,224.33,224.4,29282700
10/9/2019,227.03,227.79,225.64,227.03,19029424
10/10/2019,227.93,230.44,227.3,230.09,28962984
10/11/2019,232.95,237.64,232.3075,236.21,41990210
10/14/2019,234.9,238.1342,234.6701,235.87,24413484
10/15/2019,236.39,237.65,234.88,235.32,23040483
10/16/2019,233.37,235.24,233.2,234.37,19286694
10/17/2019,235.09,236.15,233.52,235.28,17272897
10/18/2019,234.59,237.58,234.29,236.41,24377166
10/21/2019,237.52,240.99,237.32,240.51,22367483
10/22/2019,241.16,242.2,239.6218,239.96,22684001
10/23/2019,242.1,243.24,241.22,243.18,19932545
10/24/2019,244.51,244.8,241.805,243.58,17916255
10/25/2019,243.16,246.73,242.88,246.58,18369296
10/28/2019,247.42,249.25,246.72,249.05,24143241
10/29/2019,248.97,249.75,242.57,243.29,35709867
10/30/2019,244.76,245.3,241.21,243.26,31130522
10/31/2019,247.24,249.17,237.26,248.76,34790520
11/1/2019,249.54,255.93,249.16,255.82,37781334
11/4/2019,257.33,257.845,255.38,257.5,25817952
11/5/2019,257.05,258.19,256.32,257.13,19974427
11/6/2019,256.77,257.49,255.365,257.24,18966124
11/7/2019,258.74,260.35,258.11,259.43,23735083
11/8/2019,258.69,260.44,256.85,260.14,17520495
11/11/2019,258.3,262.47,258.28,262.2,20507459
11/12/2019,261.55,262.79,260.92,261.96,21847226
11/13/2019,261.13,264.78,261.07,264.47,25817593
11/14/2019,263.75,264.88,262.1,262.64,22395556
11/15/2019,263.68,265.78,263.01,265.76,25093666
11/18/2019,265.8,267.43,264.23,267.1,21700897
11/19/2019,267.9,268,265.3926,266.29,19069597
11/20/2019,265.54,266.083,260.4,263.19,26609919
11/21/2019,263.69,264.005,261.18,262.01,30348778
11/22/2019,262.59,263.18,260.84,261.78,16331263
11/25/2019,262.71,266.44,262.52,266.37,21029517
11/26/2019,266.94,267.16,262.5,264.29,26334882
11/27/2019,265.58,267.98,265.31,267.84,16386122
11/29/2019,266.6,268,265.9,267.25,11654363
12/2/2019,267.27,268.25,263.45,264.16,23693550
12/3/2019,258.31,259.53,256.29,259.45,29377268
12/4/2019,261.07,263.31,260.68,261.74,16810388
12/5/2019,263.79,265.89,262.73,265.58,18661343
12/6/2019,267.48,271,267.3,270.71,26547493
12/9/2019,270,270.8,264.91,266.92,32182645
12/10/2019,268.6,270.07,265.86,268.48,22632383
12/11/2019,268.81,271.1,268.5,270.77,19723391
12/12/2019,267.78,272.5599,267.321,271.46,34437042
12/13/2019,271.46,275.3,270.93,275.15,33432806
12/16/2019,277,280.79,276.98,279.86,32081105
12/17/2019,279.57,281.77,278.8,280.41,28575798
12/18/2019,279.8,281.9,279.12,279.74,29024687
12/19/2019,279.5,281.18,278.95,280.02,24626947
12/20/2019,282.23,282.65,278.56,279.44,69032743
12/23/2019,280.53,284.25,280.3735,284,24677883
12/24/2019,284.69,284.89,282.9197,284.27,12119714
12/26/2019,284.82,289.98,284.7,289.91,23334004
12/27/2019,291.12,293.97,288.12,289.8,36592936
